Rótulos de Linha;lucro acumulado;;
ELETROBRAS; R$ 160.947,00 ;;
MAGAZINE LUIZA; R$ 1.801.342,00 ;;
PETROBRAS; R$ 276.177.886,00 ;;
VALE; R$ 281.314.979,00 ;;
WEG; R$ 14.052.030,00 ;;
Total Geral;573507184;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Contagem de Column_B;Rótulos de Coluna;;
Rótulos de Linha;RUIM;MÉDIO;BOM
MAGAZINE LUIZA;100,00%;0,00%;0,00%
11103;100,00%;0,00%;0,00%
11106;100,00%;0,00%;0,00%
11109;100,00%;0,00%;0,00%
12103;100,00%;0,00%;0,00%
12106;100,00%;0,00%;0,00%
12109;100,00%;0,00%;0,00%
13103;100,00%;0,00%;0,00%
13106;100,00%;0,00%;0,00%
13109;100,00%;0,00%;0,00%
14103;100,00%;0,00%;0,00%
14106;100,00%;0,00%;0,00%
14109;100,00%;0,00%;0,00%
15103;100,00%;0,00%;0,00%
15106;100,00%;0,00%;0,00%
15109;100,00%;0,00%;0,00%
16103;100,00%;0,00%;0,00%
16106;100,00%;0,00%;0,00%
16109;100,00%;0,00%;0,00%
17103;100,00%;0,00%;0,00%
17106;100,00%;0,00%;0,00%
17109;100,00%;0,00%;0,00%
18103;100,00%;0,00%;0,00%
18106;100,00%;0,00%;0,00%
18109;100,00%;0,00%;0,00%
19103;100,00%;0,00%;0,00%
19106;100,00%;0,00%;0,00%
19109;100,00%;0,00%;0,00%
20103;100,00%;0,00%;0,00%
20106;100,00%;0,00%;0,00%
20109;100,00%;0,00%;0,00%
21103;100,00%;0,00%;0,00%
21106;100,00%;0,00%;0,00%
21109;100,00%;0,00%;0,00%
22103;100,00%;0,00%;0,00%
22106;100,00%;0,00%;0,00%
22109;100,00%;0,00%;0,00%
PETROBRAS;0,00%;13,89%;86,11%
11203;0,00%;0,00%;100,00%
11206;0,00%;0,00%;100,00%
11209;0,00%;0,00%;100,00%
12203;0,00%;0,00%;100,00%
12206;0,00%;0,00%;100,00%
12209;0,00%;0,00%;100,00%
13203;0,00%;0,00%;100,00%
13206;0,00%;0,00%;100,00%
13209;0,00%;0,00%;100,00%
14203;0,00%;0,00%;100,00%
14206;0,00%;0,00%;100,00%
14209;0,00%;0,00%;100,00%
15203;0,00%;0,00%;100,00%
15206;0,00%;0,00%;100,00%
15209;0,00%;0,00%;100,00%
16203;0,00%;0,00%;100,00%
16206;0,00%;0,00%;100,00%
16209;0,00%;0,00%;100,00%
17203;0,00%;0,00%;100,00%
17206;0,00%;0,00%;100,00%
17209;0,00%;0,00%;100,00%
18203;0,00%;0,00%;100,00%
18206;0,00%;0,00%;100,00%
18209;0,00%;0,00%;100,00%
19203;0,00%;0,00%;100,00%
19206;0,00%;0,00%;100,00%
19209;0,00%;0,00%;100,00%
20203;0,00%;0,00%;100,00%
20206;0,00%;0,00%;100,00%
20209;0,00%;0,00%;100,00%
21203;0,00%;0,00%;100,00%
21206;0,00%;100,00%;0,00%
21209;0,00%;100,00%;0,00%
22203;0,00%;100,00%;0,00%
22206;0,00%;100,00%;0,00%
22209;0,00%;100,00%;0,00%
WEG;100,00%;0,00%;0,00%
11303;100,00%;0,00%;0,00%
11306;100,00%;0,00%;0,00%
11309;100,00%;0,00%;0,00%
12303;100,00%;0,00%;0,00%
12306;100,00%;0,00%;0,00%
12309;100,00%;0,00%;0,00%
13303;100,00%;0,00%;0,00%
13306;100,00%;0,00%;0,00%
13309;100,00%;0,00%;0,00%
14303;100,00%;0,00%;0,00%
14306;100,00%;0,00%;0,00%
14309;100,00%;0,00%;0,00%
15303;100,00%;0,00%;0,00%
15306;100,00%;0,00%;0,00%
15309;100,00%;0,00%;0,00%
16303;100,00%;0,00%;0,00%
16306;100,00%;0,00%;0,00%
16309;100,00%;0,00%;0,00%
17303;100,00%;0,00%;0,00%
17306;100,00%;0,00%;0,00%
17309;100,00%;0,00%;0,00%
18303;100,00%;0,00%;0,00%
18306;100,00%;0,00%;0,00%
18309;100,00%;0,00%;0,00%
19303;100,00%;0,00%;0,00%
19306;100,00%;0,00%;0,00%
19309;100,00%;0,00%;0,00%
20303;100,00%;0,00%;0,00%
20306;100,00%;0,00%;0,00%
20309;100,00%;0,00%;0,00%
21303;100,00%;0,00%;0,00%
21306;100,00%;0,00%;0,00%
21309;100,00%;0,00%;0,00%
22303;100,00%;0,00%;0,00%
22306;100,00%;0,00%;0,00%
22309;100,00%;0,00%;0,00%
ELETROBRAS;100,00%;0,00%;0,00%
11403;100,00%;0,00%;0,00%
11406;100,00%;0,00%;0,00%
11409;100,00%;0,00%;0,00%
12403;100,00%;0,00%;0,00%
12406;100,00%;0,00%;0,00%
12409;100,00%;0,00%;0,00%
13403;100,00%;0,00%;0,00%
13406;100,00%;0,00%;0,00%
13409;100,00%;0,00%;0,00%
14403;100,00%;0,00%;0,00%
14406;100,00%;0,00%;0,00%
14409;100,00%;0,00%;0,00%
15403;100,00%;0,00%;0,00%
15406;100,00%;0,00%;0,00%
15409;100,00%;0,00%;0,00%
16403;100,00%;0,00%;0,00%
16406;100,00%;0,00%;0,00%
16409;100,00%;0,00%;0,00%
17403;100,00%;0,00%;0,00%
17406;100,00%;0,00%;0,00%
17409;100,00%;0,00%;0,00%
18403;100,00%;0,00%;0,00%
18406;100,00%;0,00%;0,00%
18409;100,00%;0,00%;0,00%
19403;100,00%;0,00%;0,00%
19406;100,00%;0,00%;0,00%
19409;100,00%;0,00%;0,00%
20403;100,00%;0,00%;0,00%
20406;100,00%;0,00%;0,00%
20409;100,00%;0,00%;0,00%
21403;100,00%;0,00%;0,00%
21406;100,00%;0,00%;0,00%
21409;100,00%;0,00%;0,00%
22403;100,00%;0,00%;0,00%
22406;100,00%;0,00%;0,00%
22409;100,00%;0,00%;0,00%
VALE;80,56%;0,00%;19,44%
11503;100,00%;0,00%;0,00%
11506;100,00%;0,00%;0,00%
11509;100,00%;0,00%;0,00%
12503;100,00%;0,00%;0,00%
12506;100,00%;0,00%;0,00%
12509;100,00%;0,00%;0,00%
13503;100,00%;0,00%;0,00%
13506;100,00%;0,00%;0,00%
13509;100,00%;0,00%;0,00%
14503;100,00%;0,00%;0,00%
14506;100,00%;0,00%;0,00%
14509;100,00%;0,00%;0,00%
15503;100,00%;0,00%;0,00%
15506;100,00%;0,00%;0,00%
15509;100,00%;0,00%;0,00%
16503;100,00%;0,00%;0,00%
16506;100,00%;0,00%;0,00%
16509;100,00%;0,00%;0,00%
17503;100,00%;0,00%;0,00%
17506;100,00%;0,00%;0,00%
17509;100,00%;0,00%;0,00%
18503;100,00%;0,00%;0,00%
18506;100,00%;0,00%;0,00%
18509;100,00%;0,00%;0,00%
19503;100,00%;0,00%;0,00%
19506;100,00%;0,00%;0,00%
19509;100,00%;0,00%;0,00%
20503;100,00%;0,00%;0,00%
20506;100,00%;0,00%;0,00%
20509;0,00%;0,00%;100,00%
21503;0,00%;0,00%;100,00%
21506;0,00%;0,00%;100,00%
21509;0,00%;0,00%;100,00%
22503;0,00%;0,00%;100,00%
22506;0,00%;0,00%;100,00%
22509;0,00%;0,00%;100,00%
