Data;Valor pago;Tipo de dividendos;Data de pagamento;Qauntidade de Ações
12/06/2023;0,9468;DIVIDENDO;20/09/2023 ;1
12/06/2023;0,6686;JRS CAP PROPRIO;18/08/2023 ;1
12/06/2023;0,2782;DIVIDENDO;18/08/2023 ;1
27/04/2023;1,3729;DIVIDENDO;19/05/2023 ;1
27/04/2023;0,8748;DIVIDENDO;16/06/2023 ;1
27/04/2023;0,4981;DIVIDENDO;27/12/2023 ;1
21/11/2022;1,6002;DIVIDENDO;19/01/2023 ;1
21/11/2022;1,1558;DIVIDENDO;20/12/2022 ;1
21/11/2022;0,5186;JRS CAP PROPRIO;20/12/2022 ;1
21/11/2022;0,0743;JRS CAP PROPRIO;19/01/2023 ;1
11/08/2022;3,3660;DIVIDENDO;20/09/2022 ;1
11/08/2022;2,9389;DIVIDENDO;31/08/2022 ;1
11/08/2022;0,4271;JRS CAP PROPRIO;31/08/2022 ;1
23/05/2022;0,4302;JRS CAP PROPRIO;20/06/2022 ;1
23/05/2022;1,8578;DIVIDENDO;20/07/2022 ;1
23/05/2022;1,4276;DIVIDENDO;20/06/2022 ;1
13/04/2022;2,8611;DIVIDENDO;16/05/2022 ;1
01/12/2021;1,0554;JRS CAP PROPRIO;15/12/2021 ;1
01/12/2021;2,1951;DIVIDENDO;15/12/2021 ;1
16/08/2021;1,6099;DIVIDENDO;25/08/2021 ;1
14/04/2021;0,7874;DIVIDENDO;29/04/2021 ;1
22/07/2020;0,0004;DIVIDENDO;15/12/2020 ;1
26/12/2019;0,4200;JRS CAP PROPRIO;07/02/2020 ;1
11/11/2019;0,2000;JRS CAP PROPRIO;07/02/2020 ;1
12/08/2019;0,2000;JRS CAP PROPRIO;04/10/2019 ;1
21/05/2019;0,1000;JRS CAP PROPRIO;05/07/2019 ;1
25/04/2019;0,0190;DIVIDENDO;20/05/2019 ;1
21/12/2018;0,7000;JRS CAP PROPRIO;- ;1
21/11/2018;0,1000;JRS CAP PROPRIO;03/12/2018 ;1
13/08/2018;0,0500;JRS CAP PROPRIO;23/08/2018 ;1
21/05/2018;0,0500;JRS CAP PROPRIO;29/05/2018 ;1
02/04/2014;0,9672;JRS CAP PROPRIO;- ;1
29/04/2013;0,3800;JRS CAP PRÓPRIO;- ;1
11/05/2012;0,2000;JRS CAP PRÓPRIO;- ;1
19/03/2012;0,1200;DIVIDENDO;- ;1
02/01/2012;0,2000;JRS CAP PRÓPRIO;- ;1
11/11/2011;0,2000;JRS CAP PRÓPRIO;- ;1
02/08/2011;0,2000;JRS CAP PRÓPRIO;- ;1
11/05/2011;0,2000;JRS CAP PRÓPRIO;- ;1
28/04/2011;0,1200;DIVIDENDO;- ;1
21/03/2011;0,1493;JRS CAP PRÓPRIO;- ;1
21/12/2010;0,2000;JRS CAP PRÓPRIO;- ;1
01/11/2010;0,1400;JRS CAP PRÓPRIO;- ;1
30/07/2010;0,2000;JRS CAP PRÓPRIO;- ;1
21/05/2010;0,2000;JRS CAP PRÓPRIO;- ;1
22/04/2010;0,1300;DIVIDENDO;- ;1
22/04/2010;0,1172;JRS CAP PRÓPRIO;- ;1
18/12/2009;0,2000;JRS CAP PRÓPRIO;- ;1
30/09/2009;0,2000;JRS CAP PRÓPRIO;- ;1
03/07/2009;0,3000;JRS CAP PRÓPRIO;- ;1
08/04/2009;0,3300;DIVIDENDO;- ;1
26/12/2008;0,8000;JRS CAP PRÓPRIO;- ;1
04/04/2008;0,1500;JRS CAP PRÓPRIO;- ;1
04/04/2008;0,0500;DIVIDENDO;- ;1
11/01/2008;0,3000;JRS CAP PRÓPRIO;- ;1
05/10/2007;0,5000;JRS CAP PRÓPRIO;- ;1
17/08/2007;0,5000;JRS CAP PRÓPRIO;- ;1
02/04/2007;0,3500;DIVIDENDO;- ;1
28/12/2006;0,4500;JRS CAP PRÓPRIO;- ;1
31/10/2006;1,0000;JRS CAP PRÓPRIO;- ;1
03/04/2006;0,3500;DIVIDENDO;- ;1
03/04/2006;0,2500;JRS CAP PRÓPRIO;- ;1
29/12/2005;0,5000;JRS CAP PRÓPRIO;- ;1
30/06/2005;2,0000;JRS CAP PRÓPRIO;- ;1
31/03/2005;1,0000;JRS CAP PRÓPRIO;- ;1
31/03/2005;0,6000;DIVIDENDO;- ;1
30/09/2004;2,9900;JRS CAP PRÓPRIO;- ;1
29/03/2004;1,1500;JRS CAP PRÓPRIO;- ;1
29/03/2004;1,0000;DIVIDENDO;- ;1
25/11/2003;2,9900;JRS CAP PRÓPRIO;- ;1
27/03/2003;1,0000;JRS CAP PRÓPRIO;- ;1
27/03/2003;0,5300;DIVIDENDO;- ;1
12/11/2002;1,0000;JRS CAP PRÓPRIO;- ;1
22/03/2002;1,3000;DIVIDENDO;- ;1
22/03/2002;0,8900;JRS CAP PRÓPRIO;- ;1
03/08/2001;0,0300;DIVIDENDO;- ;1
29/06/2001;1,0200;JRS CAP PRÓPRIO;- ;1
23/03/2001;1,6700;JRS CAP PRÓPRIO;- ;1
23/03/2001;0,5700;DIVIDENDO;- ;1
23/03/2000;4,2700;JRS CAP PRÓPRIO;- ;1000
23/03/2000;3,5800;DIVIDENDO;- ;1000
24/03/1999;4,5515;JRS CAP PRÓPRIO;- ;1000
24/03/1999;1,8893;DIVIDENDO;- ;1000
24/03/1998;3,2078;DIVIDENDO;- ;1000
24/03/1998;2,0703;DIVIDENDO;- ;1000
24/03/1998;0,6694;DIVIDENDO;- ;1000
24/03/1998;0,2049;DIVIDENDO;- ;1000
21/03/1997;2,1263;DIVIDENDO;- ;1000
21/03/1997;2,0000;DIVIDENDO;- ;1000
21/03/1996;5,1471;DIVIDENDO;- ;1000
